Transaction_ID,User_ID,Date,Account_Number,Transaction_Type,Amount,Currency,Category,Counterparty,Payment_Method
TXN00034,U462,20/07/2024,143899,Refund,2559.09,USD,Payroll,Bailey-Chavez,Bank Transfer
TXN00035,U045,27/11/2024,929230,Credit,2408.4,USD,Sales,Washington-Howell,Cash
TXN00036,U329,30/05/2024,958105,Debit,7711.07,USD,Payroll,Walton-Conley,Bank Transfer
TXN00037,U479,09/06/2024,542265,Debit,3995.18,USD,Marketing,Webster-Hanson,Cash
TXN00038,U291,18/04/2024,739614,Refund,214.92,USD,Marketing,Rogers-Jackson,Bank Transfer
TXN00039,U311,17/04/2024,453372,Credit,2090.15,USD,Sales,Cruz-Williams,Credit Card
TXN00040,U230,09/03/2024,699305,Credit,3891.14,USD,Payroll,"Evans, Hansen and Mccall",Bank Transfer
TXN00041,U081,18/03/2024,410985,Credit,4029.94,USD,Inventory,Brown LLC,Bank Transfer
TXN00042,U356,09/10/2024,804850,Debit,6475.21,USD,Inventory,Vasquez-Hill,Cash
TXN00043,U282,16/08/2024,880608,Debit,9544.78,USD,Inventory,"Baker, Buchanan and Michael",Cash
TXN00044,U326,03/05/2024,246100,Credit,1549.81,USD,Operations,Walsh LLC,Credit Card
TXN00045,U492,06/08/2024,469464,Debit,2992.48,USD,Marketing,Anderson-Villarreal,Bank Transfer
TXN00046,U500,09/05/2024,618602,Debit,8012.99,USD,Marketing,Hardy-Evans,Cash
TXN00047,U340,11/11/2024,247846,Credit,7361.53,USD,Payroll,Carson-Shelton,Cash
TXN00048,U339,15/04/2024,941791,Debit,9217.78,USD,Inventory,Pitts PLC,Credit Card
TXN00049,U091,25/06/2024,759004,Credit,9038.31,USD,Payroll,Valentine LLC,Credit Card
TXN00050,U471,27/07/2024,342697,Credit,6039.1,USD,Payroll,Morgan LLC,Credit Card
TXN00051,U429,09/10/2024,320189,Refund,3596.85,USD,Marketing,"Ewing, Miles and Henderson",Bank Transfer
TXN00052,U119,01/07/2024,615514,Credit,970.15,USD,Marketing,Moore-Hansen,Bank Transfer
TXN00053,U487,21/04/2024,829497,Debit,3680.89,USD,Marketing,"Gibson, Johnson and Carlson",Cash
TXN00054,U470,23/02/2024,577078,Refund,2006.71,USD,Marketing,"Martin, Brooks and Smith",Cash
TXN00055,U253,14/03/2024,461638,Credit,4459.97,USD,Inventory,Frazier-Rivas,Credit Card
TXN00056,U284,08/01/2024,502460,Refund,3887.01,USD,Payroll,Barrett-Jones,Credit Card
TXN00057,U481,04/09/2024,449401,Debit,2692.11,USD,Payroll,Bailey-Kelly,Bank Transfer
TXN00058,U209,11/04/2024,701677,Credit,6007.4,USD,Payroll,Sanchez Group,Bank Transfer
TXN00059,U189,18/12/2024,192171,Debit,911.32,USD,Marketing,Gomez-Williams,Credit Card
TXN00060,U332,15/03/2024,895624,Refund,4231.14,USD,Inventory,Hoffman LLC,Credit Card
TXN00061,U488,28/08/2024,974785,Credit,3688.68,USD,Inventory,Hopkins LLC,Bank Transfer
TXN00062,U355,09/02/2024,867409,Refund,1871.69,USD,Payroll,Campbell and Sons,Bank Transfer
TXN00063,U310,20/05/2024,888896,Refund,6310.56,USD,Payroll,Mata-Cunningham,Cash
TXN00064,U109,05/01/2025,888500,Credit,938.55,USD,Sales,Ewing-Wiley,Bank Transfer
TXN00065,U203,02/09/2024,824077,Refund,5138.28,USD,Inventory,Jimenez-Griffin,Bank Transfer
TXN00066,U394,31/07/2024,606520,Debit,9732.99,USD,Payroll,Hardy Ltd,Credit Card
TXN00067,U166,27/10/2024,607412,Refund,6767.64,USD,Marketing,Christian-Oliver,Cash
TXN00068,U176,29/03/2024,211674,Debit,6479.63,USD,Operations,Hendricks-Ortiz,Credit Card
TXN00069,U370,01/06/2024,829723,Debit,7139.22,USD,Inventory,Petty-Matthews,Cash
TXN00070,U144,08/05/2024,340832,Refund,9307.37,USD,Payroll,Kelly Ltd,Cash
TXN00071,U380,11/06/2024,878231,Debit,5277.51,USD,Marketing,"Hoffman, Vazquez and Hatfield",Cash
TXN00072,U073,10/07/2024,310640,Credit,6475.78,USD,Operations,"Johnston, Herrera and Reynolds",Credit Card
TXN00073,U431,23/06/2024,733023,Debit,848.86,USD,Operations,Morris-Odonnell,Cash
TXN00074,U413,15/12/2024,909278,Debit,4687.51,USD,Inventory,Jenkins Group,Bank Transfer
TXN00075,U068,28/12/2024,261050,Debit,801.04,USD,Operations,"Perry, Brown and Mata",Cash
TXN00076,U356,11/03/2024,911733,Credit,8017.43,USD,Marketing,Saunders-Wagner,Cash
TXN00077,U014,31/12/2024,469725,Credit,3010.93,USD,Payroll,"Dillon, Gray and Allen",Credit Card
TXN00078,U362,03/05/2024,801805,Credit,9842.02,USD,Operations,Martin-Fischer,Cash
TXN00079,U075,01/07/2024,638781,Refund,6846.3,USD,Operations,Brandt Inc,Cash
TXN00080,U492,24/08/2024,366612,Credit,3011.08,USD,Payroll,Montoya LLC,Credit Card
TXN00081,U093,11/09/2024,417301,Debit,2494.05,USD,Inventory,Pruitt-Jones,Credit Card
TXN00082,U414,09/06/2024,276085,Credit,4283.04,USD,Operations,Barnes-Allen,Cash
TXN00083,U421,14/02/2024,718844,Credit,5689.67,USD,Sales,Green-Huerta,Cash
TXN00084,U210,11/03/2024,954250,Debit,5514.43,USD,Marketing,Pollard Group,Credit Card
TXN00085,U354,26/11/2024,259814,Refund,9173.85,USD,Marketing,"Morris, Rodriguez and Campbell",Bank Transfer
TXN00086,U313,17/06/2024,870883,Credit,5139.01,USD,Operations,"Washington, Anderson and Melendez",Cash
TXN00087,U182,12/07/2024,510960,Refund,5111.41,USD,Sales,Ortiz-Mitchell,Credit Card
TXN00088,U341,15/06/2024,617651,Refund,4136.06,USD,Inventory,Taylor Ltd,Cash
TXN00089,U324,04/12/2024,789862,Refund,4651.92,USD,Operations,Williams-Berger,Bank Transfer
TXN00090,U181,14/06/2024,309887,Debit,7205.9,USD,Sales,Salinas-Beck,Cash
TXN00091,U319,12/05/2024,124168,Refund,8130.12,USD,Marketing,Stephens-Oliver,Cash
TXN00092,U167,20/11/2024,228712,Refund,3561.02,USD,Operations,King Inc,Cash
TXN00093,U365,15/01/2024,125430,Debit,5859.82,USD,Operations,"Campbell, Evans and Patton",Cash
TXN00094,U450,26/10/2024,651806,Refund,7688.78,USD,Operations,Cook Group,Bank Transfer
TXN00095,U049,04/11/2024,205025,Refund,172.52,USD,Operations,"Campbell, Oneill and Williams",Cash
TXN00096,U187,26/12/2024,457811,Debit,7407.76,USD,Marketing,Stewart-Wade,Bank Transfer
TXN00097,U112,06/04/2024,934651,Debit,4634.16,USD,Sales,Jordan-Gutierrez,Credit Card
TXN00098,U171,27/09/2024,886528,Credit,7863.91,USD,Marketing,Hall-Carr,Credit Card
TXN00099,U218,12/03/2024,237319,Credit,8430.67,USD,Operations,Hernandez and Sons,Cash
TXN00100,U378,18/06/2024,383233,Credit,462.13,USD,Marketing,"Sandoval, Jordan and Harris",Bank Transfer
TXN00101,U180,26/07/2024,762787,Refund,4168.35,USD,Payroll,Fowler-Dorsey,Credit Card
TXN00102,U452,13/10/2024,314190,Refund,7046.74,USD,Operations,Gordon Group,Cash
TXN00103,U144,11/08/2024,603092,Refund,3146.32,USD,Sales,"Osborne, Pearson and Thomas",Bank Transfer
TXN00104,U191,09/10/2024,385890,Debit,7243.71,USD,Operations,"Fox, Jones and Houston",Credit Card
TXN00105,U431,15/02/2024,902444,Refund,7575.97,USD,Marketing,Stone-Clark,Credit Card
TXN00106,U218,31/07/2024,787816,Credit,4504.98,USD,Operations,Torres-Davidson,Cash
TXN00107,U430,08/10/2024,765109,Debit,8080.26,USD,Operations,Graham-Lewis,Bank Transfer
TXN00108,U096,04/05/2024,322423,Debit,3419.93,USD,Operations,Morris Inc,Bank Transfer
TXN00109,U317,20/08/2024,671299,Debit,9181.94,USD,Operations,"Wilson, Myers and Sanders",Bank Transfer
TXN00110,U274,12/03/2024,423277,Credit,8101.96,USD,Payroll,"Kline, Summers and Clark",Bank Transfer
TXN00111,U062,18/11/2024,207601,Credit,2118.57,USD,Marketing,"Mcdonald, Lee and Hogan",Cash
TXN00112,U405,25/05/2024,951374,Credit,791.42,USD,Operations,Murray-Page,Credit Card
TXN00113,U005,29/03/2024,831391,Debit,9822.04,USD,Marketing,Garcia-Nelson,Bank Transfer
TXN00114,U067,29/02/2024,580256,Debit,2600.58,USD,Operations,Hanson Group,Credit Card
TXN00115,U411,07/09/2024,553570,Refund,6737.35,USD,Payroll,Smith-Walsh,Credit Card
TXN00116,U466,19/12/2024,329698,Refund,4343.65,USD,Inventory,Barnes-George,Bank Transfer
TXN00117,U223,10/05/2024,725695,Credit,188.97,USD,Payroll,Brown LLC,Credit Card
TXN00118,U171,21/08/2024,309281,Debit,3955.39,USD,Inventory,Duran Inc,Cash
TXN00119,U353,06/09/2024,345429,Refund,142.91,USD,Operations,"Henderson, Peterson and Diaz",Bank Transfer
TXN00120,U253,19/11/2024,571231,Credit,6561.45,USD,Marketing,"Swanson, Anderson and Gutierrez",Bank Transfer
TXN00121,U492,02/12/2024,739518,Credit,4607.03,USD,Sales,Bennett-Gonzalez,Credit Card
TXN00122,U293,11/05/2024,329044,Refund,4056.87,USD,Inventory,Chapman-Thompson,Cash
TXN00123,U142,11/04/2024,238775,Credit,6580.59,USD,Marketing,Sanchez-Johnson,Bank Transfer
TXN00124,U148,27/12/2024,499262,Debit,7445.03,USD,Payroll,"Krause, Cervantes and Carter",Cash
TXN00125,U351,24/04/2024,987822,Credit,7261.85,USD,Operations,"Stewart, Wilson and Davila",Credit Card
TXN00126,U490,20/04/2024,152885,Debit,3034.97,USD,Marketing,Williams Group,Bank Transfer
TXN00127,U067,18/03/2024,849737,Debit,8133.19,USD,Marketing,Alvarez Group,Cash
TXN00128,U434,27/08/2024,528945,Refund,6171.28,USD,Payroll,Williams-Clark,Bank Transfer
TXN00129,U422,08/10/2024,315173,Refund,6909.72,USD,Operations,Adams-Mitchell,Credit Card
TXN00130,U182,05/11/2024,139733,Refund,9631.78,USD,Sales,Wilson-Moore,Bank Transfer
TXN00131,U240,06/11/2024,804921,Credit,6754.27,USD,Sales,"Hernandez, Carter and Edwards",Cash
TXN00132,U339,26/02/2024,378830,Refund,8048.36,USD,Payroll,West-Hamilton,Bank Transfer
TXN00133,U197,28/07/2024,536241,Refund,885.47,USD,Payroll,Frye-Ross,Cash
TXN00134,U431,29/01/2024,787369,Credit,1359.79,USD,Sales,Mcbride-Olson,Bank Transfer
TXN00135,U065,13/01/2024,701163,Refund,1916.11,USD,Marketing,Novak Inc,Cash
TXN00136,U409,16/12/2024,351163,Credit,8161.52,USD,Inventory,Collins Group,Credit Card
TXN00137,U271,17/04/2024,520693,Credit,6963.36,USD,Marketing,Cox Inc,Bank Transfer
TXN00138,U454,08/01/2024,658076,Debit,1890.33,USD,Operations,Randolph-Williams,Cash
TXN00139,U253,12/11/2024,751378,Debit,277.88,USD,Operations,Gross-Dickson,Cash
TXN00140,U365,17/09/2024,917305,Refund,4816.36,USD,Operations,"Rodriguez, Reed and Knapp",Cash
TXN00141,U498,19/11/2024,501248,Credit,1460.09,USD,Sales,"Wheeler, Lawson and Chen",Cash
TXN00142,U259,28/07/2024,885910,Debit,2425.38,USD,Marketing,Parker Ltd,Bank Transfer
TXN00143,U117,04/12/2024,832159,Debit,8422.48,USD,Payroll,Browning-Lindsey,Bank Transfer
TXN00144,U328,22/04/2024,347903,Debit,8583.31,USD,Inventory,Howard-Oneal,Credit Card
TXN00145,U465,18/03/2024,998011,Debit,5390.44,USD,Payroll,Smith-Bauer,Cash
TXN00146,U260,22/06/2024,269133,Refund,870.07,USD,Operations,Sanchez-Knight,Bank Transfer
TXN00147,U252,20/11/2024,540422,Debit,7699.51,USD,Payroll,Sawyer PLC,Bank Transfer
TXN00148,U197,06/06/2024,991262,Refund,1490.17,USD,Operations,Gutierrez-Martin,Cash
TXN00149,U181,03/11/2024,462768,Credit,4224.57,USD,Inventory,Pena-Long,Bank Transfer
TXN00150,U059,22/04/2024,880543,Refund,1173.42,USD,Sales,Garrett-Watson,Credit Card
TXN00151,U077,28/11/2024,387197,Debit,9025.13,USD,Payroll,Ellison-Waters,Credit Card
TXN00152,U038,25/08/2024,239759,Credit,7390.42,USD,Marketing,"Cole, Santana and Franco",Credit Card
TXN00153,U233,24/07/2024,679713,Credit,4458.21,USD,Inventory,"Brown, Phillips and Davidson",Bank Transfer
TXN00154,U351,01/10/2024,631651,Refund,4855.62,USD,Inventory,Moore-Hamilton,Bank Transfer
TXN00155,U255,21/06/2024,297227,Credit,206.08,USD,Operations,Mendez-Wright,Cash
TXN00156,U453,14/03/2024,556625,Refund,4500.67,USD,Inventory,"Parker, Rocha and Oneill",Bank Transfer
TXN00157,U182,23/04/2024,888785,Credit,2433.87,USD,Payroll,"Hart, Richardson and Simmons",Cash
TXN00158,U246,27/01/2024,818282,Refund,2955.37,USD,Marketing,Johnson-Tran,Credit Card
TXN00159,U494,04/01/2025,248129,Debit,8296.21,USD,Marketing,"Terry, Pena and Taylor",Credit Card
TXN00160,U152,10/02/2024,436453,Refund,3923.42,USD,Marketing,Brown-Henry,Credit Card
TXN00161,U457,29/12/2024,499896,Refund,3345.16,USD,Inventory,White LLC,Bank Transfer
TXN00162,U225,06/01/2025,301022,Debit,1035.61,USD,Payroll,Bradley-Dominguez,Credit Card
TXN00163,U480,18/01/2024,887491,Refund,8477.82,USD,Sales,"Baxter, Rogers and Flores",Cash
TXN00164,U352,15/06/2024,529111,Refund,4323.56,USD,Marketing,Smith and Sons,Credit Card
TXN00165,U028,15/09/2024,914092,Credit,4162.7,USD,Inventory,"Hall, Morgan and Hernandez",Bank Transfer
TXN00166,U104,24/08/2024,223107,Refund,4962.08,USD,Marketing,"Smith, Shaffer and Myers",Cash
TXN00167,U178,24/06/2024,907268,Credit,5790.83,USD,Operations,Smith Group,Cash
TXN00168,U300,21/05/2024,674769,Debit,7313.47,USD,Sales,"Gray, Washington and Cohen",Bank Transfer
TXN00169,U280,08/02/2024,371340,Credit,9990.27,USD,Payroll,Drake PLC,Bank Transfer
TXN00170,U299,29/09/2024,927898,Credit,379.8,USD,Payroll,"Franklin, Clark and Alvarez",Cash
TXN00171,U382,09/06/2024,442620,Debit,4002.81,USD,Operations,Hoffman-Young,Credit Card
TXN00172,U046,13/05/2024,480160,Credit,5138.42,USD,Operations,"Ryan, King and Wright",Bank Transfer
TXN00173,U261,16/06/2024,786355,Debit,7248.9,USD,Sales,Mann LLC,Credit Card
TXN00174,U209,29/06/2024,682556,Refund,9353.46,USD,Inventory,Schmitt-Bryan,Bank Transfer
TXN00175,U168,21/07/2024,905935,Refund,9051.68,USD,Payroll,Turner and Sons,Cash
TXN00176,U015,26/02/2024,925395,Credit,8677.67,USD,Operations,"Martin, Little and Mahoney",Cash
TXN00177,U484,30/12/2024,772344,Refund,2326.74,USD,Operations,"Murphy, Mcdonald and Olson",Credit Card
TXN00178,U265,22/06/2024,796442,Debit,616.44,USD,Marketing,"Webb, Saunders and Ruiz",Credit Card
TXN00179,U208,10/08/2024,341007,Refund,200.01,USD,Sales,Sims LLC,Credit Card
TXN00180,U451,14/12/2024,177288,Debit,5768.27,USD,Marketing,"Villegas, Barrett and Ward",Credit Card
TXN00181,U238,14/02/2024,610078,Refund,5537.02,USD,Inventory,Hill-Hoffman,Cash
TXN00182,U308,30/08/2024,543052,Credit,2685.81,USD,Sales,Hanson PLC,Bank Transfer
TXN00183,U104,05/08/2024,723672,Refund,6486.52,USD,Sales,Simmons-Phelps,Bank Transfer
TXN00184,U299,13/06/2024,652502,Refund,8892.51,USD,Sales,"Smith, Fernandez and Mcdonald",Cash
TXN00185,U046,30/11/2024,839795,Refund,1178.24,USD,Operations,Anderson-Hodges,Cash
TXN00186,U124,08/03/2024,498955,Debit,6230.74,USD,Marketing,"Ramos, Pham and Martinez",Cash
TXN00187,U354,06/12/2024,117258,Debit,6465.34,USD,Inventory,Le-Mclaughlin,Credit Card
TXN00188,U181,29/11/2024,566016,Credit,4488.77,USD,Operations,Goodman-Santos,Cash
TXN00189,U320,15/04/2024,838282,Debit,4367.94,USD,Operations,Herrera-Gutierrez,Bank Transfer
TXN00190,U266,10/03/2024,496676,Refund,1621.72,USD,Payroll,"Gonzalez, Bailey and Foley",Credit Card
TXN00191,U079,15/12/2024,153409,Refund,7264.83,USD,Marketing,"Leblanc, Villanueva and Mora",Credit Card
TXN00192,U020,18/07/2024,707449,Debit,4697.71,USD,Payroll,Glover LLC,Credit Card
TXN00193,U389,03/03/2024,564367,Refund,4386.73,USD,Inventory,"Smith, Moss and Jones",Bank Transfer
TXN00194,U108,19/10/2024,478621,Credit,5081.28,USD,Inventory,Levine LLC,Cash
TXN00195,U296,17/03/2024,562255,Credit,5880.71,USD,Inventory,Donovan LLC,Cash
TXN00196,U278,20/09/2024,763852,Debit,6852.89,USD,Sales,Hernandez-King,Credit Card
TXN00197,U146,09/08/2024,974283,Debit,9218.14,USD,Payroll,Murphy LLC,Bank Transfer
TXN00198,U043,29/05/2024,776437,Credit,8536,USD,Operations,"Duncan, Caldwell and Johnson",Credit Card
TXN00199,U425,18/01/2024,177053,Credit,7154.84,USD,Inventory,Rivers Ltd,Credit Card
TXN00200,U316,25/06/2024,775593,Debit,4689.99,USD,Inventory,Frank-Lee,Credit Card
TXN00201,U423,19/01/2024,337341,Debit,8832.9,USD,Inventory,"Long, Flores and Johnson",Bank Transfer
TXN00202,U096,08/11/2024,325195,Debit,7232.72,USD,Marketing,Sims PLC,Cash
TXN00203,U130,04/11/2024,868020,Refund,3909.81,USD,Payroll,"Baker, Navarro and Vargas",Cash
TXN00204,U332,01/05/2024,742021,Debit,4174.44,USD,Inventory,Taylor LLC,Cash
TXN00205,U006,27/03/2024,231714,Debit,9412.56,USD,Marketing,Rowe-Neal,Cash
TXN00206,U459,31/10/2024,493361,Refund,6528.48,USD,Operations,"Le, Williams and Hill",Bank Transfer
TXN00207,U471,12/12/2024,780557,Credit,3608.95,USD,Sales,"Woodard, Hall and Reyes",Bank Transfer
TXN00208,U317,21/11/2024,873467,Debit,4728.53,USD,Payroll,"Baxter, Foley and Morris",Credit Card
TXN00209,U477,05/11/2024,989009,Refund,9709.71,USD,Operations,"Martinez, Mcgee and Hardin",Bank Transfer
TXN00210,U008,07/11/2024,266361,Debit,1628.64,USD,Sales,Mcmillan Ltd,Credit Card
TXN00211,U021,24/04/2024,407261,Debit,2080.01,USD,Sales,Cooper-Harris,Credit Card
TXN00212,U486,13/05/2024,136034,Refund,6910.07,USD,Inventory,"Hart, Jones and Simpson",Cash
TXN00213,U093,13/08/2024,403173,Credit,871.06,USD,Marketing,Reyes-Evans,Bank Transfer
TXN00214,U050,14/12/2024,228913,Refund,4834.07,USD,Payroll,Lopez Ltd,Credit Card
TXN00215,U463,10/09/2024,335250,Debit,1741.18,USD,Operations,Arnold-Joyce,Credit Card
TXN00216,U144,29/07/2024,779502,Credit,1571.58,USD,Payroll,"Gibbs, Glass and Perry",Bank Transfer
TXN00217,U408,22/09/2024,494503,Refund,4926.94,USD,Payroll,Smith-Terry,Cash
TXN00218,U160,01/11/2024,135149,Refund,7936.89,USD,Payroll,"Roberts, Greene and Zuniga",Cash
TXN00219,U016,31/03/2024,560154,Credit,9431.12,USD,Marketing,Lang-Martinez,Cash
TXN00220,U432,16/10/2024,176070,Debit,4942.31,USD,Sales,"Thompson, Jones and Logan",Bank Transfer
TXN00221,U391,03/09/2024,700305,Refund,2354.84,USD,Inventory,Manning-Lowe,Cash
TXN00222,U048,21/12/2024,154760,Refund,5572.74,USD,Marketing,"Young, Adams and Williams",Bank Transfer
TXN00223,U361,15/08/2024,432999,Refund,9992.62,USD,Inventory,Fritz Inc,Credit Card
TXN00224,U211,09/11/2024,924440,Debit,3594.28,USD,Payroll,Calderon Group,Bank Transfer
TXN00225,U441,01/05/2024,228247,Refund,2615.47,USD,Marketing,Reed-Rogers,Cash
TXN00226,U054,13/01/2024,323794,Credit,6772.51,USD,Sales,Ruiz and Sons,Bank Transfer
TXN00227,U103,21/01/2024,871766,Credit,1755.4,USD,Sales,Johnson-Black,Bank Transfer
TXN00228,U100,10/05/2024,577065,Refund,8596.02,USD,Sales,Graham Group,Cash
TXN00229,U141,20/07/2024,955899,Refund,5039.75,USD,Inventory,"Baker, Harper and Wagner",Bank Transfer
TXN00230,U279,07/10/2024,768894,Credit,8070.09,USD,Marketing,"Chambers, Morris and James",Credit Card
TXN00231,U276,12/03/2024,273114,Credit,3383.97,USD,Sales,Martin PLC,Credit Card
TXN00232,U462,17/05/2024,553422,Refund,1148.55,USD,Operations,Browning Ltd,Credit Card
TXN00233,U491,27/12/2024,982366,Credit,2274.64,USD,Sales,"Liu, Brown and Smith",Cash
TXN00234,U435,15/04/2024,150041,Debit,5624.19,USD,Operations,Cole-Mcgee,Credit Card
TXN00235,U219,05/11/2024,867543,Debit,4868.79,USD,Operations,Rodriguez-Mills,Bank Transfer
TXN00236,U175,25/04/2024,982811,Debit,9936.69,USD,Inventory,Eaton Inc,Cash
TXN00237,U142,16/04/2024,926312,Debit,7851.01,USD,Inventory,"Beck, Campbell and Hamilton",Cash
TXN00238,U099,01/11/2024,512124,Credit,7696.05,USD,Payroll,Perez-Morton,Cash
TXN00239,U084,10/10/2024,844677,Debit,7703.25,USD,Payroll,Edwards-Lee,Bank Transfer
TXN00240,U412,30/01/2024,655088,Refund,5574.65,USD,Payroll,Thomas-Cain,Bank Transfer
TXN00241,U113,17/06/2024,719593,Refund,8964.21,USD,Marketing,Meyer-Pratt,Cash
TXN00242,U185,08/01/2024,441412,Debit,8535.55,USD,Operations,Gardner-Calderon,Bank Transfer
TXN00243,U294,03/01/2025,424139,Refund,8738.22,USD,Operations,"Owens, Jones and Smith",Bank Transfer
TXN00244,U418,25/03/2024,998211,Debit,6046.85,USD,Sales,Thompson-Nash,Credit Card
TXN00245,U172,20/12/2024,467351,Debit,1050.38,USD,Sales,Gordon-Combs,Credit Card
TXN00246,U053,08/01/2024,452759,Debit,513.72,USD,Inventory,Warren PLC,Cash
TXN00247,U077,30/03/2024,990882,Refund,9463.21,USD,Marketing,"Harris, Oneal and Kirby",Credit Card
TXN00248,U099,26/02/2024,353797,Refund,7991.88,USD,Sales,Ochoa-Mathis,Credit Card
TXN00249,U490,04/04/2024,140869,Debit,9626.84,USD,Payroll,"Richards, Clark and Mendoza",Cash
TXN00250,U451,21/12/2024,926060,Debit,7560.09,USD,Sales,Hansen-Gallegos,Cash
TXN00251,U423,23/03/2024,222350,Debit,9746.85,USD,Marketing,"Lang, Cabrera and Wyatt",Credit Card
TXN00252,U370,31/12/2024,510489,Debit,7818.71,USD,Payroll,Friedman PLC,Cash
TXN00253,U135,28/12/2024,853561,Credit,6100.46,USD,Marketing,Johnson-Lee,Bank Transfer
TXN00254,U448,25/02/2024,844715,Debit,8585.29,USD,Operations,Mcbride PLC,Bank Transfer
TXN00255,U286,03/02/2024,573125,Refund,1027.66,USD,Inventory,Cardenas Group,Cash
TXN00256,U479,16/10/2024,630993,Debit,5629.1,USD,Payroll,Rangel-Williams,Credit Card
TXN00257,U157,12/08/2024,902981,Credit,5077.98,USD,Marketing,Martinez-Gonzales,Bank Transfer
TXN00258,U421,29/08/2024,276555,Refund,1678.79,USD,Payroll,Lewis-Turner,Bank Transfer
TXN00259,U215,12/04/2024,196450,Credit,1189.41,USD,Payroll,"Carter, Wade and Haas",Cash
TXN00260,U152,15/07/2024,363218,Debit,2061.81,USD,Inventory,Valenzuela PLC,Credit Card
TXN00261,U048,26/07/2024,186697,Refund,3622.77,USD,Operations,"Davis, Campbell and Kirby",Bank Transfer
TXN00262,U484,19/06/2024,143022,Debit,7286.21,USD,Payroll,"Mclaughlin, Brewer and Middleton",Cash
TXN00263,U344,21/02/2024,581423,Refund,7084.55,USD,Payroll,"Leonard, Vasquez and Booth",Credit Card
TXN00264,U318,16/11/2024,739291,Refund,7622.03,USD,Payroll,"Brown, Garcia and Lewis",Bank Transfer
TXN00265,U151,22/01/2024,832712,Refund,4988.93,USD,Operations,Copeland-Cannon,Bank Transfer
TXN00266,U427,23/11/2024,859020,Credit,8706.22,USD,Inventory,Miller-Forbes,Cash
